Epoch[JDUT1] is 2457769.4377327663823962
Time[s],AccessOrNoAccess,Range[km]
6706.0,False,10011.027955446614
6707.0,False,10011.028705164448
6708.0,False,10011.029454848092
6709.0,False,10011.030204496745
6710.0,False,10011.030954109487
6711.0,False,10011.031703685545
6712.0,False,10011.032453224036
6713.0,False,10011.033202724133
6714.0,False,10011.033952185004
6715.0,False,10011.034701605777
6716.0,False,10011.035450985635
6717.0,False,10011.036200323739
6718.0,False,10011.036949619222
6719.0,False,10011.037698871247
6720.0,False,10011.038448079009
6721.0,False,10011.039197241606
6722.0,False,10011.039946358242
6723.0,False,10011.040695428068
6724.0,False,10011.041444450211
6725.0,False,10011.042193423873
6726.0,False,10011.04294234819
6727.0,False,10011.043691222309
6728.0,False,10011.044440045414
6729.0,False,10011.045188816657
6730.0,False,10011.045937535162
6731.0,False,10011.046686200156
6732.0,False,10011.047434810718
6733.0,False,10011.048183366065
6734.0,False,10011.048931865338
6735.0,False,10011.04968030769
6736.0,False,10011.050428692277
6737.0,False,10011.051177018271
6738.0,False,10011.051925284823
6739.0,False,10011.052673491095
6740.0,False,10011.053421636234
6741.0,False,10011.054169719426
6742.0,False,10011.05491773983
6743.0,False,10011.055665696545
6744.0,False,10011.056413588805
6745.0,False,10011.057161415727
6746.0,False,10011.05790917648
6747.0,False,10011.05865687024
6748.0,False,10011.059404496145
6749.0,False,10011.06015205335
6750.0,False,10011.06089954105
6751.0,False,10011.06164695836
6752.0,False,10011.062394304487
6753.0,False,10011.063141578557
6754.0,False,10011.06388877971
6755.0,False,10011.064635907176
6756.0,False,10011.065382960049
6757.0,False,10011.06612993752
6758.0,False,10011.06687683875
6759.0,False,10011.067623662891
6760.0,False,10011.068370409097
6761.0,False,10011.069117076573
6762.0,False,10011.06986366439
6763.0,False,10011.070610171797
6764.0,False,10011.071356597924
6765.0,False,10011.072102941913
6766.0,False,10011.072849202956
6767.0,False,10011.073595380205
6768.0,False,10011.074341472795
6769.0,False,10011.075087479921
6770.0,False,10011.075833400737
6771.0,False,10011.076579234386
6772.0,False,10011.077324980077
6773.0,False,10011.078070636891
6774.0,False,10011.078816204052
6775.0,False,10011.079561680723
6776.0,False,10011.080307066039
6777.0,False,10011.081052359183
6778.0,False,10011.081797559307
6779.0,False,10011.08254266556
6780.0,False,10011.083287677135
6781.0,False,10011.08403259317
6782.0,False,10011.08477741283
6783.0,False,10011.085522135312
6784.0,False,10011.086266759714
6785.0,False,10011.08701128526
6786.0,False,10011.087755711089
6787.0,False,10011.088500036352
6788.0,False,10011.089244260238
6789.0,False,10011.089988381893
6790.0,False,10011.09073240047
6791.0,False,10011.091476315169
6792.0,False,10011.09222012513
6793.0,False,10011.0929638295
6794.0,False,10011.0937074275
6795.0,False,10011.094450918225
6796.0,False,10011.09519430089
6797.0,False,10011.09593757463
6798.0,False,10011.096680738607
6799.0,False,10011.097423792033
6800.0,False,10011.098166734024
6801.0,False,10011.098909563747
6802.0,False,10011.099652280396
6803.0,False,10011.100394883108
6804.0,False,10011.101137371064
6805.0,False,10011.101879743446
6806.0,False,10011.102621999373
6807.0,False,10011.103364138053
6808.0,False,10011.104106158627
6809.0,False,10011.104848060266
6810.0,False,10011.105589842167
6811.0,False,10011.106331503448
6812.0,False,10011.1070730433
6813.0,False,10011.107814460887
6814.0,False,10011.108555755382
6815.0,False,10011.109296925923
6816.0,False,10011.110037971737
6817.0,False,10011.110778891913
